employment,income,dti,score,amount,tenure,emp_length,delinquencies,savings,utilization,default
0,86379,0.248,670,10666,12,3.1,0,19422.14,0.316,1
0,49629,0.255,739,29036,60,5.2,3,21660.48,0.324,0
1,56507,0.358,664,14030,48,1.1,0,20396.65,0.287,1
0,60016,0.36,743,14430,24,3.5,0,18273.35,0.292,0
0,70743,0.274,710,8131,24,3.4,2,14379.34,0.208,0
1,50741,0.373,721,5819,48,6.4,0,22526.08,0.28,0
0,62356,0.301,684,10998,60,3.5,0,12802.69,0.339,1
0,61495,0.269,690,14289,24,6.8,2,17736.23,0.313,1
1,66832,0.228,696,6696,24,2.2,1,23468.81,0.387,1
1,59445,0.326,738,7476,36,1.2,0,24490.58,0.32,0
0,77555,0.316,702,10217,36,5.7,2,25100.08,0.326,0
0,64611,0.444,733,24688,48,2.8,2,11159.69,0.325,0
1,48003,0.367,724,9633,36,6.6,0,19875.62,0.275,1
0,71282,0.288,715,23241,36,10.2,0,19264.82,0.326,0
0,63606,0.253,680,6004,36,5.2,0,18044.6,0.286,1
0,51093,0.214,723,23736,48,2.1,2,25039.68,0.264,0
1,66328,0.219,709,11576,36,10.7,0,15248.38,0.346,0
1,23293,0.356,705,14578,12,3.5,0,13771.41,0.418,1
0,63990,0.346,692,27112,60,20.4,0,20273.61,0.206,0
1,65302,0.381,637,14126,36,2.2,2,12040.29,0.536,0
0,51511,0.328,677,10922,60,0.4,3,17463.16,0.456,0
0,69217,0.3,707,17291,36,0.9,2,23250.08,0.323,1
1,68140,0.227,682,16007,24,5.8,3,26237.79,0.303,1
1,48914,0.2,574,19123,36,0,5,5415.08,0.481,0
0,46654,0.251,715,6972,24,3.1,1,17210.76,0.311,0
0,56807,0.357,587,24815,36,4.4,2,14844.42,0.394,0
0,66452,0.288,737,10974,48,2.5,1,28480.39,0.256,0
1,48879,0.52,646,19150,60,1.5,1,14228.19,0.476,0
0,57842,0.233,717,26990,60,0,1,14802.51,0.449,0
0,62929,0.402,684,6305,24,0.8,2,19773.9,0.443,0
0,65952,0.234,689,24352,36,4.4,0,20907.02,0.337,0
1,60953,0.274,712,22665,24,3.4,1,21745.94,0.373,0
1,72615,0.321,730,12457,24,2.3,1,31772.97,0.36,1
0,64345,0.312,755,9859,36,1.8,0,18230.1,0.282,0
1,52546,0.491,669,5538,12,1.1,3,19373.19,0.555,1
0,58510,0.264,744,27208,48,0.5,1,22722.5,0.428,0
0,75403,0.31,689,27565,36,4.9,1,22977.65,0.296,0
0,69179,0.247,663,12340,60,6.2,0,10379.62,0.258,0
0,60867,0.259,695,19429,12,0.5,1,24248.11,0.218,0
0,44319,0.265,725,26632,24,8.8,2,21731.79,0.299,0
0,64690,0.352,739,9603,48,4.7,1,24328.94,0.306,0
1,47792,0.399,748,24505,36,10,0,12758.01,0.336,0
1,22985,0.406,727,14892,48,0.3,2,13435.07,0.239,1
0,41335,0.288,733,9521,12,0.3,0,23180.96,0.324,0
1,51087,0.337,665,19645,36,0.1,2,12003.75,0.665,0
0,61969,0.413,718,24079,24,12,0,17130.93,0.356,1
0,57205,0.363,749,17161,24,5.3,2,23657.61,0.267,0
0,46633,0.293,766,24793,12,4.3,1,14632.81,0.254,0
0,76400,0.229,706,15410,36,1.4,1,25829.56,0.341,1
0,79957,0.312,707,28775,24,2.9,0,17621.24,0.298,0
0,42136,0.235,755,15434,48,2.6,2,22955.31,0.348,0
